#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 02 21 17 50 322  6.5  7.5  2.48 12.90  7.26 293 1017.7  13.3  13.6 999.0 99.0 99.00
2010 02 21 18 50 312  4.5  5.6  2.30 12.12  7.09 281 1017.9  13.3  13.7 999.0 99.0 99.00
2010 02 21 19 50 293  3.1  3.9  2.35 12.90  7.66 275 1017.9  13.3  13.7 999.0 99.0 99.00
2010 02 21 20 50 278  1.1  2.3  2.02 12.90  7.46 273 1017.0  13.4  13.7 999.0 99.0 99.00
2010 02 21 21 50 247  3.4  4.4  1.90 12.12  7.27 285 1017.0  13.2  13.8 999.0 99.0 99.00
2010 02 21 22 50 207  2.7  3.2  2.05 12.12  7.77 279 1016.5  12.8  13.8 999.0 99.0 99.00
2010 02 21 23 50 202  3.7  5.4  1.83 11.43  7.61 283 1016.2  12.4  13.9 999.0 99.0 99.00
2010 02 22 00 50 211  2.7  3.5  1.80 12.90  8.01 263 1016.3  11.7  13.9 999.0 99.0 99.00
2010 02 22 01 50 303  4.5  5.8  1.81 11.43  7.62 277 1016.3  12.7  13.9 999.0 99.0 99.00
2010 02 22 02 50 306  7.7  9.5  2.09 12.12  7.21 265 1016.3  13.4  13.9 999.0 99.0 99.00
2010 02 22 03 50 300  7.0  8.8  2.03 11.43  6.49 274 1016.7  13.3  13.9 999.0 99.0 99.00
2010 02 22 04 50 296  7.8  8.9  2.01 12.12  6.38 292 1017.0  13.4  13.8 999.0 99.0 99.00
2010 02 22 05 50 298  8.9 10.6  2.08 11.43  6.66 281 1017.4  13.3  13.8 999.0 99.0 99.00
2010 02 22 06 50 299  8.6 10.5  2.13 11.43  6.51 277 1017.5  12.7  13.8 999.0 99.0 99.00
2010 02 22 07 50 303  8.7 10.2  2.09 12.12  6.30 268 1017.6  13.1  13.8 999.0 99.0 99.00
2010 02 22 08 50 305  8.2 10.1  2.09 12.12  6.52 287 1017.4  13.0  13.8 999.0 99.0 99.00
2010 02 22 09 50 305  7.8  9.9  2.05 12.12  6.00 263 1017.7  12.6  13.8 999.0 99.0 99.00
2010 02 22 10 50 307  8.6 10.4  2.05 12.12  6.08 259 1017.4  13.0  13.7 999.0 99.0 99.00
2010 02 22 11 50 308  8.0  9.3  2.05 17.39  6.06 290 1017.5  12.1  13.7 999.0 99.0 99.00
2010 02 22 12 50 311  7.1  8.5  2.10 16.00  6.63 295 1017.8  12.6  13.7 999.0 99.0 99.00
