#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 05 02 50 294  1.0  1.6  2.64 14.81 12.66 304 1022.3  12.6  12.5 999.0 99.0 99.00
2011 01 05 03 50 111  0.5  1.3  2.52 17.39 12.31 307 1022.6  12.2  12.3 999.0 99.0 99.00
2011 01 05 04 50 142  1.5  2.6  2.43 16.00 12.14 304 1022.9  11.9  12.2 999.0 99.0 99.00
2011 01 05 05 50  90  2.9  4.1  2.46 16.00 12.17 291 1023.4  11.1  12.2 999.0 99.0 99.00
2011 01 05 06 50  43  2.7  3.5  2.18 17.39 11.62 292 1023.5  11.7  12.2 999.0 99.0 99.00
2011 01 05 07 50  65  3.1  4.1  2.55 16.00 12.48 285 1023.5  11.3  12.2 999.0 99.0 99.00
2011 01 05 08 50 102  2.4  3.4  2.24 16.00 11.32 294 1023.3  10.7  12.2 999.0 99.0 99.00
2011 01 05 09 50 124  3.8  5.0  2.11 14.81 11.44 280 1023.3  10.1  12.2 999.0 99.0 99.00
2011 01 05 10 50 121  3.5  4.6  2.23 16.00 11.08 295 1023.4  10.0  12.2 999.0 99.0 99.00
2011 01 05 11 50  98  4.2  5.3  2.18 16.00 10.75 297 1023.4  10.3  12.2 999.0 99.0 99.00
2011 01 05 12 50 234  0.3  0.9  2.00 14.81 10.25 292 1023.3  10.6  12.2 999.0 99.0 99.00
2011 01 05 13 50 344  0.6  1.2  2.14 16.00 11.00 295 1023.5  10.6  12.2 999.0 99.0 99.00
2011 01 05 14 50 127  2.9  4.1  2.32 16.00 10.63 286 1023.6  10.3  12.1 999.0 99.0 99.00
2011 01 05 15 50 121  4.0  5.4  2.16 14.81 10.38 300 1023.9  10.2  12.1 999.0 99.0 99.00
2011 01 05 16 50 102  3.2  4.6  2.25 14.81 10.60 310 1024.5  10.6  12.1 999.0 99.0 99.00
2011 01 05 17 50 101  2.6  3.4  2.39 14.81 11.16 303 1024.7  10.8  12.1 999.0 99.0 99.00
2011 01 05 18 50 317  1.4  2.8  2.21 14.81 10.83 306 1024.3  11.3  12.2 999.0 99.0 99.00
2011 01 05 19 50  36  1.6  2.1  2.45 14.81 11.69 290 1023.7  11.2  12.1 999.0 99.0 99.00
2011 01 05 20 50 348  1.7  2.4  2.13 14.81 11.53 298 1023.0  11.9  12.2 999.0 99.0 99.00
2011 01 05 21 50 313  2.9  3.9  1.93 14.81 11.74 285 1022.4  12.1  12.3 999.0 99.0 99.00
2011 01 05 22 50 315  3.6  4.4  1.71 13.79 11.27 280 1022.0  12.5  12.3 999.0 99.0 99.00
2011 01 05 23 50 329  3.2  3.8  1.78 16.00 11.56 291 1022.0  12.8  12.4 999.0 99.0 99.00
2011 01 06 00 50 331  2.4  3.3  1.83 14.81 11.15 292 1021.8  12.9  12.4 999.0 99.0 99.00
2011 01 06 01 50 302  3.3  4.0  1.77 14.81 10.88 300 1021.5  12.6  12.4 999.0 99.0 99.00
2011 01 06 02 50 325  4.0  4.8  1.76 14.81 10.58 295 1021.7  12.8  12.2 999.0 99.0 99.00
2011 01 06 03 50 330  4.3  5.8  1.50 16.00  9.97 288 1021.7  12.7  12.2 999.0 99.0 99.00
2011 01 06 04 50 360  3.1  3.8  2.16 14.81 10.49 291 1021.9  12.6  12.2 999.0 99.0 99.00
2011 01 06 05 50 100  3.0  4.2  2.00 13.79 10.48 290 1021.8  11.8  12.2 999.0 99.0 99.00
2011 01 06 06 50  96  1.9  2.7  1.60 16.00  9.72 290 1021.9  11.3  12.1 999.0 99.0 99.00
2011 01 06 07 50 121  3.5  5.1  1.78 13.79 10.51 283 1021.7  11.0  12.0 999.0 99.0 99.00
2011 01 06 08 50 119  2.3  3.2  1.70 14.81 10.32 292 1022.0  11.1  11.9 999.0 99.0 99.00
2011 01 06 09 50 131  1.2  2.6  2.05 14.81 11.17 289 1021.9  11.1  11.8 999.0 99.0 99.00
2011 01 06 10 50 180  0.1  0.4  1.56 13.79 10.33 285 1021.7  10.8  11.8 999.0 99.0 99.00
2011 01 06 11 50 320  0.5  1.0  1.59 14.81 10.44 288 1021.2  11.0  11.8 999.0 99.0 99.00
2011 01 06 12 50  65  1.5  2.0  1.80 12.90 10.92 285 1021.2  10.9  11.8 999.0 99.0 99.00
2011 01 06 13 50 116  0.6  1.3  1.71 13.79 10.65 294 1021.0  10.8  11.8 999.0 99.0 99.00
2011 01 06 14 50 114  2.8  3.8  1.82 13.79 10.62 297 1021.0  10.7  11.8 999.0 99.0 99.00
2011 01 06 15 50 109  3.7  4.7  2.04 12.90 10.83 292 1020.9  10.6  11.8 999.0 99.0 99.00
2011 01 06 16 50  73  2.0  2.8  1.79 12.90 10.24 288 1021.3  11.1  11.8 999.0 99.0 99.00
2011 01 06 17 50  16  1.5  2.2  1.77 12.90 10.33 288 1021.6  11.9  11.9 999.0 99.0 99.00
2011 01 06 18 50 175  1.4  2.2  1.77 13.79 10.30 284 1021.2  12.1  12.0 999.0 99.0 99.00
2011 01 06 19 50 347  0.7  1.2  1.92 14.81 10.68 290 1020.2  11.7  12.1 999.0 99.0 99.00
2011 01 06 20 50 322  0.7  1.4  1.70 13.79 10.62 279 1019.6  12.2  12.2 999.0 99.0 99.00
2011 01 06 21 50 305  2.4  3.2  2.06 12.90 11.84 289 1018.9  12.2  12.1 999.0 99.0 99.00
2011 01 06 22 50 314  1.3  2.6  1.80 13.79 11.74 276 1019.1  12.0  12.0 999.0 99.0 99.00
2011 01 06 23 50 335  1.4  2.2  1.67 19.05 11.50 298 1018.6  12.2  12.0 999.0 99.0 99.00
2011 01 07 00 50 211  1.9  2.5  1.85 13.79 11.86 292 1018.8  12.4  11.9 999.0 99.0 99.00
2011 01 07 01 50 346  2.5  3.2  1.82 13.79 11.51 301 1018.5  12.5  11.9 999.0 99.0 99.00
2011 01 07 02 50 254  0.4  0.9  2.17 19.05 12.10 306 1018.9  12.0  11.9 999.0 99.0 99.00
2011 01 07 03 50 340  1.6  2.8  1.91 19.05 11.28 303 1018.7  12.2  11.8 999.0 99.0 99.00
2011 01 07 04 50 299  2.1  2.9  2.27 17.39 12.44 295 1018.6  12.1  11.8 999.0 99.0 99.00
2011 01 07 05 50 308  0.6  1.8  1.85 19.05 11.38 310 1018.9  12.1  11.8 999.0 99.0 99.00
